# ========
# captured on: Mon Jul 15 17:50:59 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match lines --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 142, 143, 144, 145, 146, 147, 148, 149 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 3610547367
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
    41.84%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                   
     3.76%    bench  libc-2.15.so             [.] 0x0000000000131e36                                                                                                                                                                                                                                   
     2.91%    bench  bench                    [.] SkA8_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                                
     2.10%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                   
     2.08%    bench  libgallium.so            [.] 0x000000000011aeaa                                                                                                                                                                                                                                   
     1.88%    bench  nouveau_dri.so           [.] 0x000000000003d37f                                                                                                                                                                                                                                   
     1.63%    bench  libdricore.so            [.] 0x00000000000cdfd3                                                                                                                                                                                                                                   
     1.48%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000001c79                                                                                                                                                                                                                                   
     1.09%    bench  bench                    [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                  
     1.01%    bench  nouveau_dri.so           [.] nouveau_fence_update                                                                                                                                                                                                                                 
     0.98%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                  
     0.97%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                                                                                                                                                  
     0.93%    bench  nouveau_dri.so           [.] nv50_vertex_arrays_validate                                                                                                                                                                                                                          
     0.91%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
     0.87%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                                                                                                                                            
     0.85%    bench  bench                    [.] GrGLProgramDesc::Build(GrDrawState const&, bool, GrDrawState::BlendOptFlags, GrBlendCoeff, GrBlendCoeff, GrGpuGL const*, GrDeviceCoordTexture const*, SkTArray<GrEffectStage const*, true>*, SkTArray<GrEffectStage const*, true>*, GrGLProgramDesc*)
     0.83%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_emit_buffer                                                                                                                                                                                                                               
     0.80%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                                                                                                                                                   
     0.71%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                                                                                                                                                 
     0.67%    bench  libgallium.so            [.] st_draw_vbo                                                                                                                                                                                                                                          
     0.64%    bench  bench                    [.] GrGpuGL::flushGraphicsState(GrGpu::DrawType, GrDeviceCoordTexture const*)                                                                                                                                                                            
     0.62%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_flush                                                                                                                                                                                                                                
     0.60%    bench  ld-2.15.so               [.] 0x0000000000010462                                                                                                                                                                                                                                   
     0.59%    bench  bench                    [.] SkPath::Iter::consumeDegenerateSegments()                                                                                                                                                                                                            
     0.57%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                                                                                                                                                 
     0.50%    bench  libgallium.so            [.] cso_set_vertex_buffers                                                                                                                                                                                                                               
     0.48%    bench  libdricore.so            [.] vbo_bind_arrays                                                                                                                                                                                                                                      
     0.45%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                                                                                                                                                   
     0.42%    bench  bench                    [.] SkGpuDevice::drawPath(SkDraw const&, SkPath const&, SkPaint const&, SkMatrix const*, bool)                                                                                                                                                           
     0.42%    bench  nouveau_dri.so           [.] nouveau_fence_wait                                                                                                                                                                                                                                   
     0.42%    bench  libc-2.15.so             [.] __sched_yield                                                                                                                                                                                                                                        
     0.41%    bench  nouveau_dri.so           [.] nv50_bufctx_emit_relocs                                                                                                                                                                                                                              
     0.40%    bench  libc-2.15.so             [.] __libc_calloc                                                                                                                                                                                                                                        
     0.38%    bench  bench                    [.] SkDrawTreatAsHairline(SkPaint const&, SkMatrix const&, float*)                                                                                                                                                                                       
     0.38%    bench  bench                    [.] SkPath::lineTo(float, float)                                                                                                                                                                                                                         
     0.36%    bench  nouveau_dri.so           [.] nv50_state_validate                                                                                                                                                                                                                                  
     0.33%    bench  libgallium.so            [.] st_validate_state                                                                                                                                                                                                                                    
     0.33%    bench  bench                    [.] GrDrawState::setFromPaint(GrPaint const&, SkMatrix const&, GrRenderTarget*)                                                                                                                                                                          
     0.33%    bench  bench                    [.] GrAAHairLinePathRenderer::onDrawPath(SkPath const&, SkStrokeRec const&, GrDrawTarget*, bool)                                                                                                                                                         
     0.33%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                         
     0.32%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                 
     0.31%    bench  bench                    [.] GrInOrderDrawBuffer::recordDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                       
     0.30%    bench  bench                    [.] GrGLAttribArrayState::disableUnusedAttribArrays(GrGpuGL const*, unsigned long)                                                                                                                                                                       
     0.30%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                             
     0.29%    bench  bench                    [.] SkPath::moveTo(float, float)                                                                                                                                                                                                                         
     0.29%    bench  bench                    [.] GrDrawState::getBlendOpts(bool, GrBlendCoeff*, GrBlendCoeff*) const                                                                                                                                                                                  
     0.28%    bench  libdricore.so            [.] _mesa_update_texture                                                                                                                                                                                                                                 
     0.28%    bench  libGL.so.1.2             [.] 0x0000000000041700                                                                                                                                                                                                                                   
     0.26%    bench  bench                    [.] SkPath::internalGetConvexity() const                                                                                                                                                                                                                 
     0.26%    bench  libdricore.so            [.] _mesa_HashLookup                                                                                                                                                                                                                                     
     0.24%    bench  bench                    [.] GrVertexBufferAllocPool::currentBufferVertices(unsigned long) const                                                                                                                                                                                  
     0.24%    bench  bench                    [.] GrClipMaskManager::setGpuStencil()                                                                                                                                                                                                                   
     0.24%    bench  bench                    [.] GrGpuGL::setupGeometry(GrDrawTarget::DrawInfo const&, unsigned long*)                                                                                                                                                                                
     0.23%    bench  bench                    [.] GrBufferAllocPool::makeSpace(unsigned long, unsigned long, GrGeometryBuffer const**, unsigned long*)                                                                                                                                                 
     0.23%    bench  bench                    [.] GrGpuGL::HWGeometryState::bindArrayAndBuffersToDraw(GrGpuGL*, GrGLVertexBuffer const*, GrGLIndexBuffer const*)                                                                                                                                       
     0.22%    bench  bench                    [.] GrGLProgram::setData(GrGpuGL*, GrDrawState::BlendOptFlags, GrEffectStage const**, GrEffectStage const**, GrDeviceCoordTexture const*, GrGLProgram::SharedGLState*)                                                                                   
     0.22%    bench  bench                    [.] GrDrawState::srcAlphaWillBeOne() const                                                                                                                                                                                                               
     0.21%    bench  bench                    [.] GrDrawState::operator=(GrDrawState const&)                                                                                                                                                                                                           
     0.21%    bench  bench                    [.] GrInOrderDrawBuffer::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                           
     0.19%    bench  bench                    [.] SkPath::Iter::doNext(SkPoint*)                                                                                                                                                                                                                       
     0.19%    bench  bench                    [.] SkStroke::strokePath(SkPath const&, SkPath*) const                                                                                                                                                                                                   
     0.19%    bench  bench                    [.] _ZN9GrContext13prepareToDrawEPK7GrPaintNS_12BufferedDrawEPNS_18AutoRestoreEffectsE.constprop.82                                                                                                                                                      
     0.19%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_emit_reloc                                                                                                                                                                                                                           
     0.19%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                               
     0.17%    bench  bench                    [.] GrDrawState::AutoRestoreEffects::set(GrDrawState*)                                                                                                                                                                                                   
     0.17%    bench  bench                    [.] GrSWMaskHelper::DrawToTargetWithPathMask(GrTexture*, GrDrawTarget*, SkIRect const&)                                                                                                                                                                  
     0.17%    bench  bench                    [.] _ZNK19GrInOrderDrawBuffer13needsNewStateEv.part.83                                                                                                                                                                                                   
     0.17%    bench  bench                    [.] GrClipMaskManager::setupClipping(GrClipData const*, GrDrawState::AutoRestoreEffects*)                                                                                                                                                                
     0.16%    bench  libdricore.so            [.] _ae_invalidate_state                                                                                                                                                                                                                                 
     0.16%    bench  bench                    [.] GrDrawState::getVertexSize() const                                                                                                                                                                                                                   
     0.16%    bench  bench                    [.] GrGpu::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                         
     0.16%    bench  libdricore.so            [.] _mesa_validate_DrawElements                                                                                                                                                                                                                          
     0.15%    bench  bench                    [.] GrGpuGL::flushRenderTarget(SkIRect const*)                                                                                                                                                                                                           
